name,country_code,subdivision,unlocode,location,asciiname,coordinates,latitude,longitude,timezone,modification date
Matsubara,JP,,JPMTB,MTB,Matsubara,3435N 13533E,34.5667,135.5500,Asia/Tokyo,2017-07-22
Matsudo,JP,,JPMTD,MTD,Matsudo,3547N 13954E,35.7799,139.9014,Asia/Tokyo,2017-07-22
Matsue,JP,,JPMTE,MTE,Matsue,,35.4833,133.0500,Asia/Tokyo,2017-04-09
Matsumoto,JP,,JPMMJ,MMJ,Matsumoto,,36.2333,137.9667,Asia/Tokyo,2017-07-22
Matsuyama,JP,,JPMYJ,MYJ,Matsuyama,,33.8392,132.7657,Asia/Tokyo,2017-07-29
Matthews,US,,USH33,H33,Matthews,4023N 08529W,35.1168,-80.7237,America/New_York,2017-03-09
Matthews,US,,USMW9,MW9,Matthews,3645N 08935W,35.1168,-80.7237,America/New_York,2017-03-09
Mattoon,US,,USKMA,KMA,Mattoon,4500N 08903W,39.4831,-88.3728,America/Chicago,2017-09-03
Mau,IN,,INMAU,MAU,Mau,2558N 08333E,26.2658,78.6711,Asia/Kolkata,2014-10-14
Mauban,PH,,PHMAU,MAU,Mauban,1411N 12143E,14.1910,121.7309,Asia/Manila,2017-12-13
Maubeuge,FR,,FRMAU,MAU,Maubeuge,5017N 00358E,50.2788,3.9727,Europe/Paris,2016-02-18
Mauguio,FR,,FRMGU,MGU,Mauguio,4337N 00401E,43.6169,4.0074,Europe/Paris,2020-06-10
Maun,BW,,BWMUB,MUB,Maun,,-19.9833,23.4167,Africa/Gaborone,2019-09-05
Maurepas,FR,,FRMPS,MPS,Maurepas,4959N 00249E,48.7649,1.9292,Europe/Paris,2016-02-18
Maurepas,FR,,FRMRP,MRP,Maurepas,4845N 00154E,48.7649,1.9292,Europe/Paris,2016-02-18
Maués,BR,,BRMBZ,MBZ,Maues,0324S 05742W,-3.3836,-57.7186,America/Manaus,2017-09-02
Maxixe,MZ,,MZMAX,MAX,Maxixe,2351S 03520E,-23.8597,35.3472,Africa/Maputo,2012-01-19
Mayagüez,PR,,PRMAZ,MAZ,Mayagueez,,18.2011,-67.1396,America/Puerto_Rico,2016-10-25
Mayen,DE,,DEMAY,MAY,Mayen,,50.3280,7.2228,Europe/Berlin,2015-09-05
Mayenne,FR,,FRMAY,MAY,Mayenne,4818N 00037W,48.3032,-0.6137,Europe/Paris,2019-04-10
Mayiladuthurai,IN,,INMYD,MYD,Mayiladuthurai,1105N 07938E,11.1035,79.6550,Asia/Kolkata,2014-10-14
Maykop,RU,,RUMKP,MKP,Maykop,4436N 04005E,44.6078,40.1058,Europe/Moscow,2016-11-23
Mayma,RU,,RUMAY,MAY,Mayma,5201N 08554E,52.0158,85.9096,Asia/Barnaul,2019-07-03
Maywood,US,,USM3W,M3W,Maywood,4039N 10037W,41.8792,-87.8431,America/Chicago,2017-05-23
